Subplot_ID,Rep,Awning,Treatment,Genotype,Grid_Location,Jul_21_IR,Jul_11_IR,Jul_16_IR
60110,1,1,wet,TB_0165,B3,34.94575,33.5429375,NA
60123,1,1,wet,TB_0508,D2,34.6173125,35.6016875,NA
60135,1,1,wet,TB_0509,F2,35.3865,33.4663125,NA
60142,1,1,wet,TB_0467,G1,35.408,33.4436875,NA
60156,1,1,wet,TB_0386,J5,35.2014375,33.1444375,NA
60215,1,2,wet,TB_0446,C9,35.1946875,34.279,NA
60241,1,2,wet,TB_0612,G11,36.600375,35.868,NA
60242,1,2,wet,TB_0476,G12,36.42875,35.0941875,NA
60251,1,2,wet,TB_0348,I9,35.645,37.161,NA
60254,1,2,wet,TB_0212,I12,36.4564375,34.628875,NA
60401,1,4,wet,TB_0581,A19,36.01475,32.1248125,NA
60410,1,4,wet,TB_0462,B22,35.1438125,32.082375,NA
60425,1,4,wet,TB_0259,E19,36.274,32.4679375,NA
60447,1,4,wet,TB_0335,H23,35.1773125,32.1873125,NA
60451,1,4,wet,TB_0003,I21,35.3305625,31.972125,NA
60510,1,5,dry,TB_0165,B3,38.18825,46.5215,NA
60523,1,5,dry,TB_0508,D2,35.5175625,39.14775,NA
60535,1,5,dry,TB_0509,F2,38.88875,39.023125,NA
60542,1,5,dry,TB_0467,G1,35.7093125,37.9045,NA
60556,1,5,dry,TB_0386,J5,36.3814375,37.421125,NA
60615,1,6,dry,TB_0446,C9,38.1113125,37.0105,NA
60641,1,6,dry,TB_0612,G11,39.2925,37.472625,NA
60642,1,6,dry,TB_0476,G12,40.181125,38.47975,NA
60651,1,6,dry,TB_0348,I9,39.1333125,46.4988125,NA
60654,1,6,dry,TB_0212,I12,47.98275,44.130375,NA
60801,1,8,dry,TB_0581,A19,35.1494375,34.705125,NA
60810,1,8,dry,TB_0462,B22,35.9041875,35.39425,NA
60825,1,8,dry,TB_0259,E19,36.258375,36.1670625,NA
60847,1,8,dry,TB_0335,H23,37.8944375,36.993125,NA
60851,1,8,dry,TB_0003,I21,36.9785625,35.7345625,NA
